TransactionIndex,IcrRecordIndex,NumIcrRecordIndices,AlbarakaIndex,Number of ALB Indexes,GrandeLivreIndex,Number of GL Indexes,Date Discrepancy,Amount,Amount Discrepancy,Post Day,Post Month,Post Year,Value Day,Value Month,Value Year,libdesc,reftran,Bank Account,Bank Name,Bank Currency,GL Memo,GL Company
1821,"[1485, 7916, 11062, 14068, 38145, 41635, 46585, 55129, 72114, 76250, 80836, 93586, 96450]",13,[1854],1,[3624],1,0,-600.0,,1,9,2003,1,9,2003,paiementcheque,776858,7891010056211,CTD,TNC,ch 776858 avance/personel,best ctd 460/2
1822,"[1485, 7916, 11062, 14068, 38145, 41635, 55129, 72114, 76250, 78984, 80836, 93586]",12,[1855],1,[3628],1,0,-150.0,,1,9,2003,1,9,2003,paiementcheque,794851,7891010056211,CTD,TNC,ch 794851 rgt/c.charges,best ctd 460/2
1823,"[46482, 48192, 49832, 71448, 93273, 97841]",6,[1856],1,[3587],1,11,-1000.0,,1,9,2003,1,9,2003,paiementcheque,776844,7891010056211,CTD,TNC,ch 776844 sal/bfg 08,best ctd 460/2
1824,"[12802, 25036, 51569, 63604, 67669, 91287, 104493]",7,[1857],1,[3626],1,1,-300.0,,2,9,2003,2,9,2003,paiementcheque,794854,7891010056211,CTD,TNC,ch 794854 avance/abdoul,best ctd 460/2
1825,"[10715, 49468, 54641, 62755, 106919]",5,[1858],1,[3595],1,7,-3858083,,2,9,2003,2,9,2003,paiementcheque,776847,7891010056211,CTD,TNC,ch 776847 rgt/quit.ptt,best ctd 460/2
1826,"[12623, 22623, 39704, 46678, 54577, 90735, 108204]",7,[1859],1,[3593],1,8,-279.7,,3,9,2003,3,9,2003,paiementcheque,776851,7891010056211,CTD,TNC,ch 776851 rgt/quit steg,best ctd 460/2
1827,"[11030, 14815, 29683, 32416, 44954, 49737, 54955, 56317, 69411, 69522, 71397, 100134]",12,[1860],1,[3708],1,0,-500.0,,4,9,2003,4,9,2003,paiementcheque,794861,7891010056211,CTD,TNC,ch 794861 alim/caisse,best ctd 460/2
1828,"[13019, 14604, 47595, 58268, 69296, 70410, 92067, 92517, 95066]",9,[1861],1,[3705],1,0,-470.0,,4,9,2003,4,9,2003,paiementcheque,794862,7891010056211,CTD,TNC,ch 794862 rgt/f.droguerie,best ctd 460/2
1829,"[8469, 15635, 24935, 47704, 52133, 66598, 69454, 101219, 111459]",9,[1862],1,[3704],1,0,-2999999,,4,9,2003,4,9,2003,paiementcheque,794859,7891010056211,CTD,TNC,ch 794859 rgt/f.ets abde.,best ctd 460/2
1830,"[2101, 17698, 37528, 46407, 55088, 68927, 73158, 74862, 111785]",9,[1863],1,[3709],1,0,-1000.0,,4,9,2003,4,9,2003,paiementcheque,794863,7891010056211,CTD,TNC,ch 794863 alim/caisse,best ctd 460/2
1831,"[847, 11640, 16534, 35163, 55515, 55645, 68470, 69348, 71627, 72932]",10,[1864],1,[3697],1,0,-628.09,,4,9,2003,4,9,2003,paiementcheque,794856,7891010056211,CTD,TNC,ch794856 rem.expen.sousse,best ctd 460/2
1832,"[49757, 68592, 71755, 93941, 103782]",5,[1865],1,[3706],1,0,-1200.0,,4,9,2003,4,9,2003,paiementcheque,794864,7891010056211,CTD,TNC,ch 794864 coge paye fawzi,best ctd 460/2
1833,"[9543, 35722, 39024, 46935, 59273, 61388, 68435, 68666, 96034, 98510]",10,[1866],1,[3703],1,0,-406.3,,4,9,2003,4,9,2003,paiementcheque,794855,7891010056211,CTD,TNC,ch 794855 rem.expen.no45,best ctd 460/2
1834,"[13103, 56066, 62975, 66969, 69213, 69455, 69870, 89773, 104555]",9,[1867],1,[3698],1,0,-300.0,,4,9,2003,4,9,2003,paiementcheque,794858,7891010056211,CTD,TNC,ch 794858 avance/personel,best ctd 460/2
1835,"[35634, 49891, 61727, 68787, 68869, 72643, 105824]",7,[1868],1,[3701],1,0,19725.0,,4,9,2003,4,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 15000$,best ctd 460/2
1836,"[12981, 13025, 18571, 41093, 50822, 56516, 63622, 66333, 68018, 68958]",10,[1869],1,[3707],1,1,-11721.9,,5,9,2003,5,9,2003,paiementcheque,794860,7891010056211,CTD,TNC,ch 794860 rgt/f.teletec,best ctd 460/2
1837,"[54179, 55871, 66108, 66504, 69376, 69537, 71913, 71916, 74503, 80273]",10,[1870],1,[3700],1,1,-1041612,,5,9,2003,5,9,2003,paiementcheque,794866,7891010056211,CTD,TNC,ch794866 rem.expen.sousse,best ctd 460/2
1838,"[1197, 12124, 69201, 69330, 70469, 74351, 75880, 109348]",8,[1871],1,[3699],1,1,-600.0,,5,9,2003,5,9,2003,paiementcheque,794865,7891010056211,CTD,TNC,ch 794865 avance/personel,best ctd 460/2
1839,"[26043, 29713, 57957, 64009, 68773, 69022, 73543, 102001]",8,[1872],1,[3710],1,0,13050.0,,5,9,2003,5,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 10000$,best ctd 460/2
1840,"[12697, 24692, 29471, 46448, 46549, 46982, 71386, 71894, 73163]",9,[1873],1,[3571],1,25,-3728939,,5,9,2003,5,9,2003,paiementcheque,776878,7891010056211,CTD,TNC,ch 776878 rgt/dec+taxe,best ctd 460/2
1841,"[9795, 28742, 29743, 36456, 39014, 73075, 75668, 99763]",8,[1874],1,[3630],1,7,-205.96,,8,9,2003,8,9,2003,paiementcheque,794852,7891010056211,CTD,TNC,ch 794852 rgt/f.monoprix,best ctd 460/2
1842,"[29844, 35863, 36820, 49348, 50254, 69188, 80427, 82803, 84592, 104391]",10,[1875],1,[3711],1,0,-329.2,,8,9,2003,8,9,2003,paiementcheque,794867,7891010056211,CTD,TNC,ch794867 rgt/f.restaurant,best ctd 460/2
1843,"[30725, 48005, 53516, 54945, 77446, 81269, 93127]",7,[1876],1,[3713],1,0,-188447,,8,9,2003,8,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/ h.les arcades,best ctd 460/2
1844,"[49168, 75047, 76956, 77838, 96925, 100285]",6,[1877],1,[3714],1,0,-2050.0,,9,9,2003,9,9,2003,paiementcheque,794869,7891010056211,CTD,TNC,ch 794869 coge paye,best ctd 460/2
1845,"[24113, 46318, 58870, 72517]",4,[1878],1,[3596],1,14,-1578931,,9,9,2003,9,9,2003,paiementcheque,776848,7891010056211,CTD,TNC,ch776848 rgt/f.lms confor,best ctd 460/2
1846,"[13723, 15697, 19729, 70521, 90001, 97642, 108281, 125255]",8,[1879],1,[3633],1,0,-456.5,,10,9,2003,10,9,2003,paiementcheque,794802,7891010056211,CTD,TNC,ch 794802 rem.expen.no47,best ctd 460/2
1847,"[13560, 51957, 61160, 71851, 90155, 102191, 126967, 127008]",8,[1880],1,[3631],1,0,-274625,,10,9,2003,10,9,2003,paiementcheque,794875,7891010056211,CTD,TNC,ch 794875 rem.expen.no46,best ctd 460/2
1848,"[30407, 53765, 71620, 74262]",4,[1881],1,[3634],1,0,12920.0,,10,9,2003,10,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 10000$,best ctd 460/2
1849,"[9795, 28742, 29743, 36456, 39014, 50579, 73075, 75668, 101237]",9,[1882],1,[3625],1,9,-3629.42,,10,9,2003,10,9,2003,paiementcheque,776860,7891010056211,CTD,TNC,ch 776860 rgt/f.gsm 06,best ctd 460/2
1850,"[15129, 29483, 47135, 54609, 60721, 63548, 69446, 69512, 73200, 74149, 76650, 92686, 100259, 107634]",14,[1883],1,[3702],1,7,-780.0,,11,9,2003,11,9,2003,paiementcheque,794857,7891010056211,CTD,TNC,ch 794857 rgt/f.quincaill,best ctd 460/2
1851,"[13154, 19740, 40775, 46837, 51538, 82087, 92787]",7,[1884],1,[3639],1,1,-5513611,,11,9,2003,11,9,2003,paiementcheque,794808,7891010056211,CTD,TNC,ch 794808 rgt/f.ets najar,best ctd 460/2
1852,"[11752, 15934, 20707, 49772, 50260, 67742, 71502, 101075]",8,[1885],1,[3638],1,1,-400.0,,11,9,2003,11,9,2003,paiementcheque,794807,7891010056211,CTD,TNC,ch 784807 avance/personel,best ctd 460/2
1853,"[9860, 14233, 38109, 57439, 57797, 70971, 72403]",7,[1886],1,[3637],1,1,-1025335,,11,9,2003,11,9,2003,paiementcheque,794806,7891010056211,CTD,TNC,ch784806 rem.expen.sousse,best ctd 460/2
1854,"[18096, 21300, 32208, 47928, 50254, 66571, 93471, 104043]",8,[1887],1,[3712],1,3,-216.2,,11,9,2003,11,9,2003,paiementcheque,794868,7891010056211,CTD,TNC,ch 794868 rgt/f.hotel,best ctd 460/2
1855,"[13079, 13346, 15753, 31197, 47744, 54882, 58625, 72345, 74674, 78995]",10,[1888],1,[3636],1,2,-584.7,,12,9,2003,12,9,2003,paiementcheque,794804,7891010056211,CTD,TNC,ch 784804 rgt/f.voyageair,best ctd 460/2
1856,"[42980, 68367, 69217, 70939, 79008]",5,[1889],1,[3594],1,17,-1220058,,12,9,2003,12,9,2003,paiementcheque,776846,7891010056211,CTD,TNC,ch 776846 rgt/quit.ptt,best ctd 460/2
1857,"[10572, 11749, 24162, 51598, 52168, 53683, 66566, 69467, 71568, 99405]",10,[1890],1,[3645],1,1,-508.65,,12,9,2003,12,9,2003,paiementcheque,794810,7891010056211,CTD,TNC,ch 794810 rem.expen.no48,best ctd 460/2
1858,"[7478, 7488, 9905, 17642, 28702, 28925, 39186, 51357, 69946, 88671, 92078, 107359]",12,[1891],1,[3641],1,5,-4420847,,15,9,2003,15,9,2003,paiementcheque,794872,7891010056211,CTD,TNC,ch 794872 rgt/gsm 07/03,best ctd 460/2
1859,"[7722, 12028, 12316, 46316, 58619, 67892, 70184, 71600, 82343, 97156, 98497]",11,[1892],1,[3648],1,0,-1000.0,,15,9,2003,15,9,2003,paiementcheque,794815,7891010056211,CTD,TNC,ch 794815 avance/abdoul,best ctd 460/2
1860,"[12901, 37934, 67002, 69387, 73118, 89434, 94957, 106501]",8,[1893],1,[3656],1,0,-335748,,15,9,2003,15,9,2003,paiementcheque,794817,7891010056211,CTD,TNC,ch 794817 rem.expen.no49,best ctd 460/2
1861,"[8549, 9504, 35395, 39769, 46902, 47374, 69397, 80545, 81229, 92564, 97516, 122066]",12,[1894],1,[3649],1,0,-2325.0,,15,9,2003,15,9,2003,paiementcheque,794816,7891010056211,CTD,TNC,ch 794816 rgt/f.bonuses,best ctd 460/2
1862,"[8467, 12125, 25550, 32701, 39154, 47659, 67430, 67489, 93329, 110197]",10,[1895],1,[3654],1,0,12693577,,15,9,2003,15,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 10000$,best ctd 460/2
1863,"[7917, 13072, 18692, 47115, 66813, 72388, 77868, 98821]",8,[1896],1,[3657],1,0,6346789,,16,9,2003,16,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 5000$,best ctd 460/2
1864,"[9635, 10108, 50567, 51862, 55130, 61462, 67918, 76329, 90584]",9,[1897],1,[3655],1,1,-5095.0,,16,9,2003,16,9,2003,paiementcheque,794820,7891010056211,CTD,TNC,ch 794820 rgt/fb aout 08,best ctd 460/2
1865,"[9654, 10646, 50717, 52966, 69688, 70623, 71299, 71416, 73152, 75247]",10,[1898],1,[3644],1,5,-3316875,,16,9,2003,16,9,2003,paiementcheque,794809,7891010056211,CTD,TNC,ch 794809 rgt/f.total 08,best ctd 460/2
1866,"[8578, 11161, 52852, 54314, 68269, 73231, 74508, 83133]",8,[1899],1,[3652],1,1,-500.0,,16,9,2003,16,9,2003,paiementcheque,794822,7891010056211,CTD,TNC,ch 794822 avance/personel,best ctd 460/2
1867,"[26064, 30003, 43434, 50041, 59522, 68418, 70306, 74345, 85058, 110525]",10,[1900],1,[3650],1,1,-260418,,16,9,2003,16,9,2003,paiementcheque,794818,7891010056211,CTD,TNC,ch 794818 rgt/f.steg,best ctd 460/2
1868,"[7829, 39848, 49428, 52636, 88034, 94282, 97394]",7,[1901],1,[3651],1,1,-500.0,,16,9,2003,16,9,2003,paiementcheque,794819,7891010056211,CTD,TNC,ch 794819 avance/abdoul,best ctd 460/2
1869,"[9595, 13055, 39875, 46911, 51171, 52814, 55317, 56694, 90126, 91488]",10,[1902],1,[3635],1,6,-121.59,,16,9,2003,16,9,2003,paiementcheque,794803,7891010056211,CTD,TNC,ch 784803 rgt/f-t art,best ctd 460/2
1870,"[13233, 32943, 34837, 54343, 57236, 69304, 70788, 73622, 92639]",9,[1903],1,[3646],1,5,-2130446,,17,9,2003,17,9,2003,paiementcheque,794813,7891010056211,CTD,TNC,ch 794813 rgt/f.a-star,best ctd 460/2
1871,"[26945, 36439, 60810, 79957, 90367, 107141]",6,[1904],1,[3632],1,7,-62.0,,17,9,2003,17,9,2003,paiementcheque,794801,7891010056211,CTD,TNC,ch 794801 rgt/f.r-post,best ctd 460/2
1872,"[46622, 49095, 68325, 69166, 75741, 76537, 83290, 88391]",8,[1905],1,[3661],1,0,-2000.0,,19,9,2003,19,9,2003,paiementcheque,794876,7891010056211,CTD,TNC,ch 794876 salaire bfg 09,best ctd 460/2
1873,"[2102, 9671, 14209, 49580, 70955, 73087, 74642, 91244, 93458, 115249]",10,[1906],1,[3660],1,0,-321.65,,19,9,2003,19,9,2003,paiementcheque,794825,7891010056211,CTD,TNC,ch 794825 rem.expen.no50,best ctd 460/2
1874,"[13282, 38173, 50444, 69316, 82460, 98022]",6,[1907],1,[3659],1,0,-100.0,,19,9,2003,19,9,2003,paiementcheque,794824,7891010056211,CTD,TNC,ch 794824 avance/personel,best ctd 460/2
1875,"[49429, 50759, 58409, 70574, 73885, 74876]",6,[1908],1,[3663],1,0,-450.0,,19,9,2003,19,9,2003,paiementcheque,794877,7891010056211,CTD,TNC,ch 794877 rgt/sal.welder,best ctd 460/2
1876,"[2104, 10594, 29362, 40022, 44747, 49837, 53280, 67113, 77453, 81408, 83055]",11,[1909],1,[3658],1,0,-726405,,19,9,2003,19,9,2003,paiementcheque,794823,7891010056211,CTD,TNC,ch794823 rem.expen.sousse,best ctd 460/2
1877,"[8921, 55400, 66601, 68942, 71753, 78276, 86841, 90391, 95014, 104746]",10,[1910],1,[3653],1,4,-950.0,,19,9,2003,19,9,2003,paiementcheque,794821,7891010056211,CTD,TNC,ch 794821 rgt/f.select e.,best ctd 460/2
1878,"[21538, 29318, 57437, 60702, 69337, 71517, 75432, 85433, 96411]",9,[1911],1,[3662],1,0,6400.0,,19,9,2003,19,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 5000$,best ctd 460/2
1879,"[39079, 40995, 46303, 73393, 75789, 88443, 108070, 111319]",8,[1912],1,[3666],1,0,-115.8,,22,9,2003,22,9,2003,paiementcheque,794879,7891010056211,CTD,TNC,ch794879 rgt/f.restaurant,best ctd 460/2
1880,"[50139, 71988, 82281, 82433, 93956]",5,[1913],1,[3665],1,0,-110.0,,22,9,2003,22,9,2003,paiementcheque,794878,7891010056211,CTD,TNC,ch794878 rgt/f.traducteur,best ctd 460/2
1881,"[17255, 18266, 53590, 61756, 69815, 79184, 97651, 97738]",8,[1914],1,[3664],1,0,-555047,,22,9,2003,22,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/h.arcades,best ctd 460/2
1882,"[8408, 14086, 47470, 48582, 49088, 49204, 56821, 76299, 82125]",9,[1915],1,[3671],1,0,-2285.4,,25,9,2003,25,9,2003,paiementcheque,794885,7891010056211,CTD,TNC,ch 794885 rgt/f.bezi,best ctd 460/2
1883,"[8831, 47449, 48378, 59921, 73298]",5,[1916],1,[3667],1,3,-707.9,,25,9,2003,25,9,2003,paiementcheque,794880,7891010056211,CTD,TNC,ch 794880 rgt/f.steg,best ctd 460/2
1884,"[2701, 10522, 19682, 32950, 43363, 70776]",6,[1917],1,[3673],1,0,2439752,,25,9,2003,25,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 1946$,best ctd 460/2
1885,"[1237, 9276, 10683, 12036, 14216, 22343, 58392, 69417, 72764, 92575, 97614]",11,[1918],1,[3640],1,15,-2552364,,25,9,2003,25,9,2003,paiementcheque,794805,7891010056211,CTD,TNC,ch 784805 rgt/f.hilton,best ctd 460/2
1886,"[881, 2215, 34743, 40013, 77168]",5,[1919],1,[3676],1,0,2861.9,,26,9,2003,26,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 2300$,best ctd 460/2
1887,"[18072, 19065, 29294, 36975, 47206, 47383, 53100, 71101, 78755, 80341, 80595, 86705, 108324]",13,[1920],1,[3678],1,0,-500.0,,26,9,2003,26,9,2003,paiementcheque,794888,7891010056211,CTD,TNC,ch 794888 rgt/d.g.p.r.,best ctd 460/2
1888,"[8446, 13500, 13526, 35119, 55019, 71376, 71475, 75836, 90800, 97608]",10,[1921],1,[3675],1,0,-424016,,26,9,2003,26,9,2003,paiementcheque,794887,7891010056211,CTD,TNC,ch 794887 rem.expen.no52,best ctd 460/2
1889,"[881, 2215, 34743, 40013, 77168]",5,[1922],1,[3677],1,0,924016,,26,9,2003,26,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 720$,best ctd 460/2
1890,"[8008, 20740, 48157, 49145, 54671, 57320, 59471, 74374]",8,[1923],1,[3669],1,1,-2861.9,,26,9,2003,26,9,2003,paiementcheque,794882,7891010056211,CTD,TNC,ch 794882 rgt/f.voyageair,best ctd 460/2
1891,,,"[1924, 1940]",2,[],0,0,-9488494,,29,9,2003,29,9,2003,ALBANNPAIR,,7891010056211,CTD,TNC,,
1892,"[8508, 12925, 13553, 13580, 47267, 50425, 72262, 72854, 86059, 108329]",10,[1925],1,[3679],1,0,-3405.0,,29,9,2003,29,9,2003,paiementcheque,794889,7891010056211,CTD,TNC,ch 794889 rgt/sal.sept.03,best ctd 460/2
1893,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1926],1,[3681],1,0,-201847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.ahmed 09,best ctd 460/2
1894,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1927],1,[3682],1,0,-1608472,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.abdoul 09,best ctd 460/2
1895,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1928],1,[3683],1,0,-951847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.najeh 09,best ctd 460/2
1896,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1929],1,[3684],1,0,-801847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.cherif 09,best ctd 460/2
1897,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1930],1,[3685],1,0,-501847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.kilani 09,best ctd 460/2
1898,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1931],1,[3686],1,0,-1201847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.faouzi 09,best ctd 460/2
1899,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1932],1,[3687],1,0,-551847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.belhay 09,best ctd 460/2
1900,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1933],1,[3688],1,0,-451847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.hamed 09,best ctd 460/2
1901,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1934],1,[3689],1,0,-617847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.halima09,best ctd 460/2
1902,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1935],1,[3690],1,0,-1851847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.sayahi 09,best ctd 460/2
1903,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1936],1,[3691],1,0,-401847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.mechichi 09,best ctd 460/2
1904,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1937],1,[3692],1,0,-501847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.herzi 09,best ctd 460/2
1905,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1938],1,[3693],1,0,-651847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.taoufik 09,best ctd 460/2
1906,"[13491, 20697, 36801, 39072, 91337, 125229]",6,[1939],1,[3694],1,0,-801847,,29,9,2003,29,9,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/sal.torkhani 09,best ctd 460/2
1907,"[38227, 41078, 44965, 81424]",4,[1941],1,[3695],1,0,12700.0,,29,9,2003,29,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 10000$,best ctd 460/2
1908,"[52158, 55216, 56137, 70608, 75284]",5,[1942],1,[3668],1,7,-1244.4,,29,9,2003,29,9,2003,paiementcheque,794881,7891010056211,CTD,TNC,ch 794881 rgt/f.asdrubal,best ctd 460/2
1909,"[1449, 18031, 40484]",3,[1943],1,[3680],1,0,6259389,,29,9,2003,29,9,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 5000$,best ctd 460/2
1910,"[16523, 51282, 51492, 68648, 74337, 82965, 109149, 124609]",8,[1944],1,[3674],1,5,-14.1,,30,9,2003,30,9,2003,paiementcheque,794886,7891010056211,CTD,TNC,ch 794886 rgt/sonede.bur,best ctd 460/2
1911,"[12150, 30465, 39685, 47887, 49654, 69590, 70612]",7,"[1945, 1946]",2,[3696],1,1,-4.72,,30,9,2003,1,10,2003,BANKCHARGE1,,7891010056211,CTD,TNC,frais bancaires,best ctd 460/2
1912,"[13179, 40001, 48188, 50394, 69494, 75779, 91554]",7,[1947],1,[3031],1,-1,6290.0,,1,10,2003,1,10,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 5000$,best ctd 460/2
1913,"[16624, 44799, 53501, 56422, 65463, 69254, 101616]",7,[1948],1,[3018],1,0,-1007318,,1,10,2003,1,10,2003,paiementcheque,794890,7891010056211,CTD,TNC,ch794890 rem.expen.sousse,best ctd 460/2
1914,"[15765, 22811, 32565, 49999, 56360, 67408, 73739]",7,[1949],1,[3019],1,0,-102.5,,1,10,2003,1,10,2003,paiementcheque,794891,7891010056211,CTD,TNC,ch 794891 rgt/f.steg,best ctd 460/2
1915,"[8436, 10062, 11066, 37277, 43319, 46575, 50027, 54201, 72896, 73567, 73920, 90962, 97616]",13,[1950],1,[3670],1,6,-3236.0,,1,10,2003,1,10,2003,paiementcheque,794883,7891010056211,CTD,TNC,ch 794883 rgt/f.c-fnina,best ctd 460/2
1916,"[12993, 51101, 56357, 69705, 71196, 75182]",6,[1951],1,[3032],1,0,-201.5,,2,10,2003,2,10,2003,paiementcheque,794892,7891010056211,CTD,TNC,ch794892 rgt/f.restaurant,best ctd 460/2
1917,"[8308, 15977, 19549, 39262, 50243, 57054, 66445, 73686, 73749, 80879, 89354]",11,[1952],1,[3030],1,0,-3001.77,,2,10,2003,2,10,2003,virement,,7891010056211,CTD,TNC,virement tnd/tnd,best ctd 460/2
1918,"[9589, 10653, 12091, 28588, 38517, 54378, 61020, 71545, 72617, 76147, 83494, 92892, 109726]",13,[1953],1,[3040],1,4,-121.2,,7,10,2003,7,10,2003,paiementcheque,794894,7891010056211,CTD,TNC,ch 794894 rgt/f.micronet,best ctd 460/2
1919,"[9302, 12004, 24853, 38311, 39373, 48554, 49237, 61626, 75171, 82457, 89209, 112707]",12,[1954],1,[3039],1,5,-575.9,,8,10,2003,8,10,2003,paiementcheque,794893,7891010056211,CTD,TNC,ch 794893 rgt/f.intersel.,best ctd 460/2
1920,"[10588, 10741, 10919, 33212, 49404, 51317, 51408, 53319, 81337, 86589, 87070, 90386, 91534]",13,[1955],1,[3060],1,2,-165.0,,9,10,2003,9,10,2003,paiementcheque,794895,7891010056211,CTD,TNC,ch794895  alim/caisse,best ctd 460/2
1921,"[14146, 28951, 34173, 53811, 71090, 86029, 90080, 91325, 100148]",9,[1956],1,[3672],1,14,-4146939,,9,10,2003,9,10,2003,paiementcheque,794884,7891010056211,CTD,TNC,ch 794884 rgt/dec.08,best ctd 460/2
1922,"[13291, 38588, 43109, 50756, 79102, 80207]",6,[1957],1,[3061],1,0,6153846,,9,10,2003,9,10,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 5000$,best ctd 460/2
1923,"[9488, 36766, 45016, 46665, 46827, 57254, 71125, 71482, 75148, 83698, 89028, 96666]",12,[1958],1,[3020],1,0,-2741407,,10,10,2003,10,10,2003,paiementcheque,794896,7891010056211,CTD,TNC,ch 794896 rgt/f.quincaill,best ctd 460/2
1924,"[9525, 15338, 33914, 35171, 38482, 50243, 59618, 70755, 75294, 92431, 92434]",11,[1959],1,[3022],1,2,-5000.0,,15,10,2003,15,10,2003,paiementcheque,794899,7891010056211,CTD,TNC,ch 794899 avance ariana,best ctd 460/2
1925,"[18051, 20731, 53006, 72924, 79473, 92263]",6,[1960],1,[3024],1,0,6181998,,15,10,2003,15,10,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 5000$,best ctd 460/2
1926,"[9431, 31942, 41615, 49271, 58609, 66616, 92086, 118841]",8,[1961],1,[3025],1,1,-8420.0,,16,10,2003,16,10,2003,paiementcheque,794900,7891010056211,CTD,TNC,ch 794900 rgt/fb sept 09,best ctd 460/2
1927,"[27431, 28362, 29446, 66055, 68161, 71969, 75505]",7,[1962],1,[3027],1,1,-2000.0,,16,10,2003,16,10,2003,paiementcheque,794902,7891010056211,CTD,TNC,ch 794902 alim/caisse,best ctd 460/2
1928,"[22796, 29930, 48031, 67663, 70080, 89268, 98406]",7,[1963],1,[3026],1,1,-2000.0,,16,10,2003,16,10,2003,paiementcheque,794901,7891010056211,CTD,TNC,ch 794901 sal.bfg 10,best ctd 460/2
1929,"[46767, 70797, 97538]",3,[1964],1,[3028],1,0,12650.0,,16,10,2003,16,10,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 10000$,best ctd 460/2
1930,"[544, 14016, 60244, 69354, 72168, 75094, 81399, 82878, 91680, 93540, 97654]",11,[1965],1,[3021],1,4,-14582356,,17,10,2003,17,10,2003,paiementcheque,794897,7891010056211,CTD,TNC,ch 794897 rgt/cnss3otr 03,best ctd 460/2
1931,"[14156, 21504, 51652, 51655, 67615, 75945, 77608, 81360, 85384, 92217, 95146]",11,[1966],1,[3023],1,3,-2206847,,17,10,2003,17,10,2003,virtemiscomp,,7891010056211,CTD,TNC,virement/loyer expat,best ctd 460/2
1932,"[7379, 10635, 52638, 98332]",4,[1967],1,[3029],1,0,18960.0,,17,10,2003,17,10,2003,virement,,7891010056211,CTD,TNC,virement usd/ctd 15000$,best ctd 460/2
1933,"[821, 8346, 9913, 49839, 74754, 74773, 77771, 89437, 91172, 99491]",10,[1968],1,[3037],1,0,-223.6,,22,10,2003,22,10,2003,paiementcheque,794908,7891010056211,CTD,TNC,ch 794908 rem.expen.no58,best ctd 460/2
1934,"[10326, 46334, 58072, 58674, 89782, 105405]",6,[1969],1,[3033],1,0,-666.0,,22,10,2003,22,10,2003,paiementcheque,794906,7891010056211,CTD,TNC,ch 794906 rgt/c.grise,best ctd 460/2
1935,"[31046, 46284, 50940, 75266, 77933]",5,[1970],1,[3038],1,0,-600.0,,22,10,2003,22,10,2003,paiementcheque,794905,7891010056211,CTD,TNC,ch 794905 avance/personel,best ctd 460/2
1936,"[953, 16360, 48300, 49465, 68880, 71335, 104727, 111721]",8,[1971],1,[3036],1,0,-1000.0,,22,10,2003,22,10,2003,paiementcheque,794907,7891010056211,CTD,TNC,ch 794907 allim.caisse,best ctd 460/2
