OcrRecordIndex,TransactionIndex,NumTransactionIndices,Document_Type,Amount,Company,Day,Month,Year,Document_Number,PurchaseOrder_Number,Cheque_Number
8188,"[19239, 1716, 19021, 7299, 4431, 2447, 17589]",7,Invoice/Facture,92956.00,Pioneer Natural Resources Tunisia LTD,24,4,2007,sol/plt/0101/07,MISSING,NoChequeNumberField
8189,,,Invoice/Facture,448600,Sangho Privilege Tataouine,20,11,2007,3168,MISSING,NoChequeNumberField
8191,"[17196, 4346, 9520]",3,Invoice/Facture,5425200,Teletec,3,5,2003,61,MISSING,NoChequeNumberField
8194,[19884],1,Invoice/Facture,5420.00,Thyna Petroleum Services,11,11,2010,sol/bhp/00236/10,msc dated 3rd january 2000,NoChequeNumberField
8195,"[5003, 10426, 19128]",3,Payment Order,2077700,Sfax,3,9,2009,1070100419136280000,NoPurchaseOrderNumberField,NoChequeNumberField
8197,"[3183, 15276, 13746]",3,Invoice/Facture,47967.00,Pioneer Natural Resources Tunisia LTD,31,3,2009,SOL/WL/00109/09,MISSING,NoChequeNumberField
8198,"[19064, 10314]",2,Invoice/Facture,69600,Sangho Privilege Tataouine,30,1,2007,2283,MISSING,NoChequeNumberField
8199,"[15121, 10910]",2,Invoice/Facture,546636,Economic Auto,27,12,2006,06DO3401,4108,NoChequeNumberField
8201,"[13057, 19512]",2,Invoice/Facture,16750.00,Pioneer Natural Resources Tunisia LTD,10,10,2007,SOL/WT/0260/07,MISSING,NoChequeNumberField
8203,"[17161, 2870, 7685, 7686, 7687, 7688, 7689, 7690, 7473, 7692, 7693, 7694, 7695, 7696, 7697, 7698, 7699, 7700, 7701, 7702, 7703, 7704, 7705, 7783, 7706, 7707, 7708, 7709, 7710, 7711, 7712, 7713, 7714, 7715, 7499, 7717, 7718, 7719, 7720, 7721, 7722, 7723, 7724, 7725, 7726, 7727, 7728, 7729, 7730, 7731, 7732, 7733, 7734, 7735, 7554, 7737, 7738, 7739, 7740, 7741, 7742, 7743, 7744, 7745, 7746, 7559, 7748, 7749, 7750, 7751, 7752, 7753, 7754, 7755, 7756, 7757, 7758, 7759, 7760, 7761, 7762, 7763, 7764, 7765, 7766, 7767, 7768, 7769, 7770, 7716, 7772, 7773, 7774, 7775, 7776, 7777, 7778, 7779, 7780, 7781, 7782, 17629, 6018]",103,Invoice/Facture,123300,Sangho Privilege Tataouine,20,9,2006,2448,MISSING,NoChequeNumberField
8204,"[19138, 19137]",2,Invoice/Facture,345.00,ENI Tunisia BV Succursale de Tunis,2,9,2008,SOL/WT/00248/08,500288,NoChequeNumberField
8206,"[4239, 3313, 81, 11688, 17966, 4073, 17248]",7,Cheque,3500000,Total Tunisie,23,3,2006,943584,NoPurchaseOrderNumberField,NoChequeNumberField
8207,[13382],1,Invoice/Facture,18474.75,Transera,30,9,2002,3404,MISSING,NoChequeNumberField
8210,"[401, 10311, 2062, 17377]",4,Cheque,5534724,Assurance Salim,5,9,2011,3163671,NoPurchaseOrderNumberField,NoChequeNumberField
8211,"[3516, 17994, 2418]",3,Cheque,5576140,Total Tunisie,22,7,2005,901657,NoPurchaseOrderNumberField,NoChequeNumberField
8214,"[5736, 12128, 14342]",3,Invoice/Facture,206400,Sangho Privilege Tataouine,28,8,2006,1805,MISSING,NoChequeNumberField
8215,,,Invoice/Facture,265110.30,Pioneer Natural Resources Tunisia LTD,12,12,2008,sol/epf/00367/08,MISSING,NoChequeNumberField
8216,"[4588, 15780, 2406, 9335, 5579, 6826]",6,Cheque,237942,Soltani Moncef,19,6,2006,1600098,NoPurchaseOrderNumberField,NoChequeNumberField
8217,"[4230, 4055, 17558, 11664, 2228]",5,Cheque,6020000,Mechichi Youssef B.Ali,10,4,2006,943619,NoPurchaseOrderNumberField,NoChequeNumberField
8218,"[19246, 9361, 4038, 17191]",4,Invoice/Facture,69600,Sangho Privilege Tataouine,21,9,2007,UNREADABLE,MISSING,NoChequeNumberField
8220,"[17785, 1642, 15932, 3451, 7027, 11871]",6,Invoice/Facture,945445,Best Bank,16,5,2006,MISSING,MISSING,NoChequeNumberField
8221,"[14162, 18314, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954]",15,Invoice/Facture,150.00,ENI Tunisia BV Succursale de Tunis,24,5,2007,sol/wl/0136/07,500042,NoChequeNumberField
8222,"[8577, 6602]",2,Cheque,1270741,Tunisiana SA,31,10,2008,2634879,NoPurchaseOrderNumberField,NoChequeNumberField
8225,"[7665, 2885, 10106, 4820]",4,Cheque,3447800,Sahara Wafa Services,17,6,2008,2500065,NoPurchaseOrderNumberField,NoChequeNumberField
8228,"[4112, 19243, 9328, 2165, 5330]",5,Cheque,1800000,Mechichi Youssef B.Ali,16,2,2006,943519,NoPurchaseOrderNumberField,NoChequeNumberField
8230,"[4303, 18988, 6691, 9126]",4,Invoice/Facture,3045620,Teletec,11,5,2005,500066,MISSING,NoChequeNumberField
8231,"[4323, 1421, 13803, 17774]",4,Cheque,2000000,Marouani Ridha,8,5,2006,943679,NoPurchaseOrderNumberField,NoChequeNumberField
8233,"[12320, 15983, 4568, 3628]",4,Invoice/Facture,175000,BECT,29,4,2008,5275,NoPurchaseOrderNumberField,NoChequeNumberField
8234,"[4141, 3098, 3941, 17938, 11474, 13749, 2209]",7,Cheque,678000,Marouani Ridha,13,3,2006,943567,NoPurchaseOrderNumberField,NoChequeNumberField
8237,"[18811, 19101, 19102, 17432, 5015]",5,Invoice/Facture,113495785,All Logistics,15,9,2011,726,MISSING,NoChequeNumberField
8239,"[5122, 2646, 12119, 3738, 7374]",5,Cheque,7000000,STE Teletec,27,1,2006,2164969,NoPurchaseOrderNumberField,NoChequeNumberField
8240,,,Invoice/Facture,35613.00,ENI Tunisia BV Succursale de Tunis,2,9,2008,SOL/WT/00251/08,500288,NoChequeNumberField
8241,[19884],1,Invoice/Facture,518733,Poly Aluminium,26,10,2010,1249,MISSING,NoChequeNumberField
8242,"[4338, 5470, 13822, 1402]",4,Cheque,5934950,M Hdiji Wassim,NaN,NaN,NaN,952244,NoPurchaseOrderNumberField,NoChequeNumberField
8243,"[4009, 3158, 13935, 5268, 15267]",5,Cheque,5000000,TGE,31,1,2006,925626,NoPurchaseOrderNumberField,NoChequeNumberField
8244,"[7341, 2559, 372, 5677, 3652, 17810, 1815]",7,Cheque,2237920,BECT,2,5,2008,2394703,NoPurchaseOrderNumberField,NoChequeNumberField
8246,"[8346, 513, 13347]",3,Invoice/Facture,780300,Zenith Soft,11,12,2007,0406795/07,MISSING,NoChequeNumberField
8247,"[4505, 17983, 9347, 15754, 1536, 3412, 4322]",7,Cheque,522171,Cherif Mokhtar Ben Hassen,21,6,2006,1600034,NoPurchaseOrderNumberField,NoChequeNumberField
8249,,,Invoice/Facture,3960900,INA Petroleum,3,12,2008,367/2008,MISSING,NoChequeNumberField
8250,"[9885, 14172, 17361, 5754, 12121]",5,Invoice/Facture,1076200,Destination Tourisme & Voyages,13,10,2005,2944,NoPurchaseOrderNumberField,NoChequeNumberField
8252,"[14969, 10785, 10786, 10787, 10788, 10789]",6,Invoice/Facture,14684.00,Pioneer Natural Resources Tunisia LTD,10,10,2007,SOL/BHP/0267/07,MISSING,NoChequeNumberField
8253,"[4437, 18983, 4307, 6698, 9119]",5,Cheque,3140821,Mokhtar Slama Vente Materiel Electrique Batiment & Industriel,7,6,2006,952308,NoPurchaseOrderNumberField,NoChequeNumberField
8254,"[4252, 2305, 11327, 121, 3344, 5373, 4086]",7,Cheque,4561300,Publicad,6,4,2006,943614,NoPurchaseOrderNumberField,NoChequeNumberField
8256,"[15318, 3274, 17743, 2106, 8944]",5,Invoice/Facture,741300,Bureau Plus,7,2,2008,fc71108,MISSING,NoChequeNumberField
8257,[18221],1,Invoice/Facture,1379300,Mercure Sfax,4,11,2008,6154,HZ/412/2008,NoChequeNumberField
8261,"[4564, 6978, 9180, 1639]",4,Cheque,2252498,TIC,25,6,2006,1600043,NoPurchaseOrderNumberField,NoChequeNumberField
8264,"[17046, 7607, 14493, 2859]",4,Invoice/Facture,307800,Sangho Privilege Tataouine,12,6,2007,1822,MISSING,NoChequeNumberField
8266,"[3127, 5237, 18962, 13470, 15279]",5,Invoice/Facture,210000,NSC,1,8,2006,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
8267,"[2234, 4047, 17556, 11670]",4,Invoice/Facture,198300,Orascom Telecom Tunisie SA,13,4,2010,I10 10000274,MISSING,NoChequeNumberField
8271,"[5012, 19065]",2,Cheque,4488000,Cherif Mokhtar Ben Hassen,1,11,2006,2092009,NoPurchaseOrderNumberField,NoChequeNumberField
8272,"[4087, 18691, 5335, 13390, 3302, 2173, 15299]",7,Cheque,400000,Cherif Mokhtar Ben Hassen,26,2,2006,943541,NoPurchaseOrderNumberField,NoChequeNumberField
8273,"[4609, 4341, 17202, 1643, 9525]",5,Cheque,865450,Soltani Moncef,26,7,2006,1600129,NoPurchaseOrderNumberField,NoChequeNumberField
8274,"[10253, 2039, 3896, 18152, 19419, 17227]",6,Invoice/Facture,236300,SAES,1,7,2008,MISSING,MISSING,NoChequeNumberField
8276,"[3940, 13397, 11307]",3,Cheque,4305000,Cherif Mokhtar Ben Hassen,16,1,2006,925656,NoPurchaseOrderNumberField,NoChequeNumberField
8278,[13937],1,Invoice/Facture,346500,Comptoir el Amen,25,2,2005,1930,NoPurchaseOrderNumberField,NoChequeNumberField
8280,"[13139, 10956, 19528]",3,Cheque,517400,Steg,26,11,2010,3257128,NoPurchaseOrderNumberField,NoChequeNumberField
8283,"[4163, 3181, 15559, 3999, 11500, 2193]",6,Cheque,14899519,M Le Reqeuew des Finances,15,3,2006,943570,NoPurchaseOrderNumberField,NoChequeNumberField
8284,"[1783, 17802, 5648, 9535, 19820]",5,Cheque,UNREADABLE,Steg,17,9,2006,UNREADABLE,NoPurchaseOrderNumberField,NoChequeNumberField
8285,,,Invoice/Facture,18275.00,Pioneer Natural Resources Tunisia LTD,12,12,2008,sol/wt/00368/08,MISSING,NoChequeNumberField
8286,"[5072, 3725, 10062]",3,Cheque,9125000,Mechichi Youssef B.Ali,22,11,2006,2164957,NoPurchaseOrderNumberField,NoChequeNumberField
8289,"[5048, 410, 7964]",3,Invoice/Facture,406600,Societe Tunisienne de l'Electricite du Gaz,2,10,2007,1498080,MISSING,NoChequeNumberField
8292,"[17047, 7615, 14595, 2817]",4,Invoice/Facture,839100,Destination Tourisme & Voyages,12,7,2007,2410,MISSING,NoChequeNumberField
8293,[13448],1,Cheque,200000,Avance,3,1,2003,445782,NoPurchaseOrderNumberField,NoChequeNumberField
8294,"[4771, 18357, 3542, 1730, 17321]",5,Cheque,710000,Cherif Mokhtar Ben Hassen,28,NaN,2006,2091895,NoPurchaseOrderNumberField,NoChequeNumberField
8295,,,Invoice/Facture,2205.00,Ecumed Petroleum Tunisia LTD,27,12,2007,sol/wl/0359/07,MISSING,NoChequeNumberField
8297,,,Invoice/Facture,464124,Colman,3,12,2008,1781,MISSING,NoChequeNumberField
8299,"[10285, 18080]",2,Receipt,1316700,SMIRI,25,3,2004,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
8302,[11130],1,Invoice/Facture,1865100,Zenith Soft,11,12,2008,0406847/08,MISSING,NoChequeNumberField
8306,"[4464, 2456, 3556]",3,Cheque,2067400,Destination Tourisme & Voyages,8,6,2006,952323,NoPurchaseOrderNumberField,NoChequeNumberField
8308,"[5069, 83, 3736, 1917, 9937]",5,Cheque,575600,Mechichi Youssef B.Ali,22,11,2006,2164956,NoPurchaseOrderNumberField,NoChequeNumberField
8310,"[8018, 10717, 19521, 6364]",4,Cheque,10000000,Total Gaddas,21,8,2008,2474380,NoPurchaseOrderNumberField,NoChequeNumberField
8312,"[156, 1674, 18663]",3,Purchase Order,100000000,STE Teletec,17,3,2006,8700000401053210000,NoPurchaseOrderNumberField,NoChequeNumberField
8314,,,Invoice/Facture,460000,Tri Car Location de Voitures,4,11,2005,7711/05,MISSING,NoChequeNumberField
8316,"[1346, 2338, 3327, 5439, 4130]",5,Invoice/Facture,671800,Destination Tourisme & Voyages,31,3,2008,1149,MISSING,NoChequeNumberField
8317,"[6367, 19505, 8168]",3,Cheque,5000000,Equip Petrol,8,11,2007,2394280,NoPurchaseOrderNumberField,NoChequeNumberField
8318,"[11355, 5349, 19275, 3926, 2282]",5,Cheque,1000000,Gramode Publicite,25,1,2010,3108766,NoPurchaseOrderNumberField,NoChequeNumberField
8321,"[5723, 9871, 17341, 4579, 7382]",5,Cheque,3831059,Comptoir el Amen,3,7,2006,1800068,NoPurchaseOrderNumberField,NoChequeNumberField
8323,"[1494, 9213, 3304]",3,Invoice/Facture,4800.00,Thyna Petroleum Services,28,3,2010,sol/bhp/00039/10,msc dated 3rd january 2000,NoChequeNumberField
8324,"[4723, 3715, 1967, 2775, 18765, 18082]",6,Cheque,1846053,Ben Rodhane,9,8,2006,2091864,NoPurchaseOrderNumberField,NoChequeNumberField
8326,"[4394, 17241, 1434, 13825, 6814, 4233]",6,Cheque,2032623,Tunisiana SA,16,5,2006,952259,NoPurchaseOrderNumberField,NoChequeNumberField
8328,"[3377, 1524, 18006, 9316]",4,Invoice/Facture,95000,Techno Flex,31,3,2008,281173,MISSING,NoChequeNumberField
8329,"[3871, 2890, 17144]",3,Invoice/Facture,147800,Auto Service Express,31,7,2007,SS0394,MISSING,NoChequeNumberField
8330,"[4701, 1701, 177, 18684, 4412]",5,Cheque,388000,Soltani Moncef,10,8,2006,2091871,NoPurchaseOrderNumberField,NoChequeNumberField
8333,"[2957, 18100, 17865]",3,Invoice/Facture,5186.90,Sitep Centre Medical,20,8,2009,SOL/WL/0021/09,E/0111/2009,NoChequeNumberField
8335,"[4002, 519, 3168, 13631]",4,Cheque,720000,El Ghussein Bachar,5,NaN,2005,925636,NoPurchaseOrderNumberField,NoChequeNumberField
8336,"[17301, 1654, 7026, 3485]",4,Invoice/Facture,4445884,Ariana Logistics,6,2,2009,2009,MISSING,NoChequeNumberField
8338,"[17134, 4879]",2,Invoice/Facture,6086.35,ENI Tunisia BV Succursale de Tunis,8,7,2009,SOL/WL/00193/09,500383,NoChequeNumberField
8346,"[2631, 1933, 19370, 4619]",4,Invoice/Facture,21800300,Equip Petrol,31,5,2010,15/0105-3105/2010,MISSING,NoChequeNumberField
8348,[12846],1,Invoice/Facture,450300,M-Z,10,10,2007,214/2007,MISSING,NoChequeNumberField
8349,[10719],1,Invoice/Facture,1757300,Destination Tourisme & Voyages,17,10,2007,3313,MISSING,NoChequeNumberField
8353,"[3446, 11315, 1607, 9382, 6727, 5568]",6,Cheque,3181060,Tunis Telecom,17,6,2005,901606,NoPurchaseOrderNumberField,NoChequeNumberField
8354,"[4169, 17533, 4229, 11530]",4,Cheque,600000,Mechichi Youssef B.Ali,3,4,2006,943599,NoPurchaseOrderNumberField,NoChequeNumberField
8355,"[18312, 4627, 1956]",3,Invoice/Facture,44020.25,ENI Tunisia BV Succursale de Tunis,24,5,2007,sol/wt/0135/07,500055,NoChequeNumberField
8359,"[3134, 5233, 18959, 13480]",4,Invoice/Facture,17482.80,ENI Tunisia BV Succursale de Tunis,17,2,2009,SOL/BHP/00046/09.,500383,NoChequeNumberField
8360,"[3885, 16607, 404, 2940]",4,Invoice/Facture,86800,Auto Service Express,30,9,2006,SS0453,MISSING,NoChequeNumberField
8361,"[4024, 3183, 15276, 13746]",4,Cheque,400000,Ben Ammar Abdelkader,6,8,2006,943497,NoPurchaseOrderNumberField,NoChequeNumberField
8363,,,Invoice/Facture,878800,Destination Tourisme & Voyages,12,11,2008,3780,MISSING,NoChequeNumberField
8367,"[5457, 17265, 11847, 1459, 17753]",5,Cheque,4289274,Assurance Carte Habib Ben Brahem,8,8,2007,2155326,NoPurchaseOrderNumberField,NoChequeNumberField
8369,[18882],1,Invoice/Facture,1886628,Total Tunisie,27,8,2011,4005207441,MISSING,NoChequeNumberField
8370,[11107],1,Invoice/Facture,248300,Ariana Logistics,21,11,2008,1926,MISSING,NoChequeNumberField
8374,"[13780, 17500, 3997, 2281, 11658, 15566]",6,Invoice/Facture,380200,Gas & Oilfield Contractor & Services ,12,5,2003,059/2003,MISSING,NoChequeNumberField
8375,"[11721, 4167, 17228, 1409]",4,Invoice/Facture,288300,Ariana Logistics,25,3,2008,1573,MISSING,NoChequeNumberField
8378,[8357],1,Invoice/Facture,19337.45,Thani Tunisia El Jem BV,30,11,2009,SOL/WT/00299/09,MISSING,NoChequeNumberField
8383,"[18811, 19101, 19102, 17432, 5015]",5,Invoice/Facture,2841168,Economic Auto,31,8,2007,07D02222,MISSING,NoChequeNumberField
8384,[8741],1,Invoice/Facture,2950300,Sigma Consulting,28,7,2009,44/09,MISSING,NoChequeNumberField
8392,"[14141, 15990]",2,Invoice/Facture,89815.91,Pioneer Natural Resources Tunisia LTD,3,4,2008,SOL/WT/00076/08,MISSING,NoChequeNumberField
8393,,,Invoice/Facture,5000000,Total Gaddas,12,12,2007,138,MISSING,NoChequeNumberField
8404,"[19766, 14963]",2,Invoice/Facture,5000.00,The Expro Group,1,7,2004,MISSING,MISSING,NoChequeNumberField
8405,"[2869, 4880, 17130]",3,Invoice/Facture,939800,Destination Tourisme & Voyages,4,7,2008,2486,MISSING,NoChequeNumberField
8406,"[5000, 12085, 3660, 15975, 5701]",5,Cheque,4446960,Comptoir el Amen,6,10,2006,2091953,NoPurchaseOrderNumberField,NoChequeNumberField
8408,"[3635, 12124, 1882, 15973, 4569]",5,Invoice/Facture,93685,Societe General Froid,26,4,2008,fa0040,MISSING,NoChequeNumberField
8410,[13049],1,Invoice/Facture,21956.40,Pioneer Natural Resources Tunisia LTD,10,10,2007,SOL/WT/0257/07,MISSING,NoChequeNumberField
8411,"[8180, 14988]",2,Invoice/Facture,61800,Sangho Privilege Tataouine,27,9,2007,2565,MISSING,NoChequeNumberField
8412,,,Invoice/Facture,1266300,All Logistics,30,12,2009,250,MISSING,NoChequeNumberField
8413,"[15148, 19194, 10974]",3,Invoice/Facture,417949,RMB,16,11,2007,184/07,MISSING,NoChequeNumberField
8414,,,Invoice/Facture,1044660,Zenith Soft,27,10,2008,0406837/08,MISSING,NoChequeNumberField
8415,"[319, 17006]",2,Invoice/Facture,40000,Office National des Postes Rapid Poste Tunis,2,6,2011,3407,MISSING,NoChequeNumberField
8417,"[4295, 1370, 4159, 15744]",4,Cheque,123100,Sotradies,21,4,2006,943642,NoPurchaseOrderNumberField,NoChequeNumberField
8418,"[2145, 3277, 4045, 9022, 15316, 5337]",6,Invoice/Facture,294088,Bureau Plus,11,2,2008,FC71123,MISSING,NoChequeNumberField
8419,"[18700, 17728, 15612, 3211]",4,Invoice/Facture,14500300,Equip Indus,1,2,2008,63-2008,MISSING,NoChequeNumberField
8422,"[13360, 5201, 64]",3,Invoice/Facture,49000,EMK SA,9,1,2006,60026,MISSING,NoChequeNumberField
8423,"[2085, 12511, 2934]",3,Invoice/Facture,1500300,Tri Car Location de Voitures,6,8,2009,14/08/09,MISSING,NoChequeNumberField
8424,"[8566, 11113]",2,Cheque,2190300,GMTGS,1,10,2008,2634892,NoPurchaseOrderNumberField,NoChequeNumberField
8425,"[12049, 5658]",2,Invoice/Facture,45600,Societe Tunisienne de l'Electricite du Gaz,5,10,2005,MISSING,MISSING,NoChequeNumberField
8431,"[4801, 13989, 2473, 1769]",4,Cheque,480599,Bureau Plus,1,8,2006,2091900,NoPurchaseOrderNumberField,NoChequeNumberField
8432,[12708],1,Cheque,2078185,BSB Toyota,15,9,2010,3257049,NoPurchaseOrderNumberField,NoChequeNumberField
8433,"[4135, 3920, 17937, 11472, 19284, 3067]",6,Cheque,330258,Mechichi Youssef B.Ali,10,3,2006,943565,NoPurchaseOrderNumberField,NoChequeNumberField
8436,"[12117, 2581, 1915, 9873, 4581, 19812]",6,Invoice/Facture,1095000,Groupement de Medicine du Travail du Gouvermorat de Sousse,5,5,2008,fa080216,MISSING,NoChequeNumberField
8437,"[4787, 3618, 18028, 4465]",4,Cheque,651455,Alpha Ford,15,8,2006,2091875,NoPurchaseOrderNumberField,NoChequeNumberField
8439,"[7163, 7152, 3580, 19673]",4,Invoice/Facture,250953,Technic Art Papeterie Bureatique Beaux Arts,17,4,2010,432462 E/B/C/000,MISSING,NoChequeNumberField
8441,"[13360, 5201, 64]",3,Invoice/Facture,88397.00,ENI Tunisia BV Succursale de Tunis,7,2,2008,sol/wt/00016/08,500288,NoChequeNumberField
8443,"[4394, 4458, 17201, 9579]",4,Cheque,440000,OK Restaurant SA,16,5,2006,952259,NoPurchaseOrderNumberField,NoChequeNumberField
8444,"[19553, 13201, 18511]",3,Invoice/Facture,531300,Mohsen Kisa,29,11,2007,459,MISSING,NoChequeNumberField
8445,"[4575, 7001, 9120]",3,Cheque,UNREADABLE,Soltani Moncef,10,7,2006,1600086,NoPurchaseOrderNumberField,NoChequeNumberField
8446,"[4584, 3484, 19360, 1888, 9759, 137, 5693]",7,Invoice/Facture,565200,Destination Tourisme & Voyages,1,7,2004,718,MISSING,NoChequeNumberField
8448,"[19394, 4728, 18789, 16895, 12298]",5,Invoice/Facture,386700,Omega Data Services LTD,9,11,2005,511090081,MISSING,NoChequeNumberField
8452,"[11340, 11532]",2,Cheque,3174187,Manprotect SARL,31,12,2009,3066279,NoPurchaseOrderNumberField,NoChequeNumberField
8455,"[4236, 5471, 6649, 17276, 1462, 15733]",6,Invoice/Facture,659198,Ariana Logistics,12,4,2005,497,MISSING,NoChequeNumberField
8458,"[8343, 13159]",2,Invoice/Facture,1260.00,Pioneer Natural Resources Tunisia LTD,22,11,2007,SOL/WL/0311/07,MISSING,NoChequeNumberField
8459,"[4260, 5441, 4152, 1365, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 2377, 2378, 15571]",20,Cheque,6570000,Mechichi Youssef B.Ali,26,4,2006,943653,NoPurchaseOrderNumberField,NoChequeNumberField
8460,"[6234, 150]",2,Invoice/Facture,9010300,Work's Wear Confection,5,10,2008,356,MISSING,NoChequeNumberField
8462,"[3441, 6851, 1612, 9110]",4,Cheque,543200,Destination Tourisme & Voyages,22,6,2005,901615,NoPurchaseOrderNumberField,NoChequeNumberField
8465,"[4918, 14160, 9737, 2531]",4,Cheque,UNREADABLE,Sonede Bureau,2,10,2006,2091946,NoPurchaseOrderNumberField,NoChequeNumberField
8466,"[5969, 2015, 18748, 16249, 2735]",5,Invoice/Facture,147691.90,Pioneer Natural Resources Tunisia LTD,27,5,2008,sol/wt/00154/08,MISSING,NoChequeNumberField
8467,"[4940, 4586, 3636, 1862, 196, 19780, 19346]",7,Cheque,706900,Mechichi Youssef B.Ali,16,10,2006,2091972,NoPurchaseOrderNumberField,NoChequeNumberField
8469,"[4888, 12093, 1829]",3,Cheque,900000,Habbani Amour,28,9,2006,2091832,NoPurchaseOrderNumberField,NoChequeNumberField
8470,[13453],1,Invoice/Facture,4276700,Compagnie Tuniso Koweito Chinoise de Petrole,8,3,2004,SOL/WT/0035/04,MISSING,NoChequeNumberField
8473,"[11860, 1478, 17758, 17281, 5454]",5,Cheque,7387500,Equip Petrol,29,3,2010,3108925,NoPurchaseOrderNumberField,NoChequeNumberField
8476,"[5058, 3741, 4599, 9912, 2618, 540, 12103]",7,Cheque,3083900,Comptoir el Amen,8,11,2006,2092029,NoPurchaseOrderNumberField,NoChequeNumberField
8477,[5124],1,Invoice/Facture,651800,Destination Tourisme & Voyages,20,9,2007,3120,MISSING,NoChequeNumberField
8479,[13049],1,Invoice/Facture,178800,Sheraton Tunis Hotel & Towers,6,10,2008,10621690,MISSING,NoChequeNumberField
8480,"[4883, 5979, 554, 10127]",4,Invoice/Facture,7370.00,Compagnie Tuniso Koweito Chinoise de Petrole,10,9,2004,SOL/WT/0112/04,MISSING,NoChequeNumberField
8481,[12723],1,Invoice/Facture,174000,Societe Tunisienne de l'Electricite du Gaz,15,10,2007,MISSING,MISSING,NoChequeNumberField
8485,"[5028, 12104, 4592, 2616, 3710, 18076]",6,Cheque,141900,Publicad,14,10,2006,2091979,NoPurchaseOrderNumberField,NoChequeNumberField
8486,[11339],1,Invoice/Facture,34771.00,ENI Tunisia BV Succursale de Tunis,20,11,2008,sol/wl/00349/08,500305,NoChequeNumberField
8491,"[13373, 5205]",2,Invoice/Facture,13200,Restaurant Mansour Sadok,1,11,2007,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
8493,"[17701, 6031, 2118, 12622]",4,Invoice/Facture,545200,Destination Tourisme & Voyages,5,11,2004,1952,MISSING,NoChequeNumberField
8496,"[18353, 18732, 2661, 17656, 4685]",5,Invoice/Facture,206800,Foodis SARL,30,6,2011,116957,MISSING,NoChequeNumberField
8500,"[19173, 17925, 18508]",3,Invoice/Facture,8300,Tunis Telecom,5,11,2007,UNREADABLE,NoPurchaseOrderNumberField,NoChequeNumberField
8504,"[5077, 18386, 316, 4621]",4,Cheque,323620,Mechichi Youssef B.Ali,19,10,2006,2164947,NoPurchaseOrderNumberField,NoChequeNumberField
8506,"[18047, 2478]",2,Invoice/Facture,456300,Ariana Logistics,8,5,2008,1630,MISSING,NoChequeNumberField
8508,"[4572, 19362, 19363, 3508, 147, 1892]",6,Invoice/Facture,217200,Ariana Logistics,17,7,2004,374,MISSING,NoChequeNumberField
8509,[8335],1,Invoice/Facture,23355.00,ENI Tunisia BV Succursale de Tunis,8,11,2007,SOL/WL/0281/07,500042,NoChequeNumberField
8512,"[5647, 3642, 310, 2488]",4,Invoice/Facture,UNREADABLE,Thyna Petroleum Services,21,5,2010,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
8513,"[4050, 17557, 11663, 2231]",4,Invoice/Facture,1255204,Auto Service Express,21,3,2008,SS017,NoPurchaseOrderNumberField,NoChequeNumberField
8519,,,Invoice/Facture,504166,STE Jomaa & Cie,31,7,2008,S080967,MISSING,NoChequeNumberField
8522,"[3971, 3147, 13761, 516]",4,Cheque,666365,Soltani Moncef,2,1,2006,943487,NoPurchaseOrderNumberField,NoChequeNumberField
8524,"[12129, 14189]",2,Invoice/Facture,5385300,Destination Tourisme & Voyages,15,6,2007,1946,MISSING,NoChequeNumberField
8526,"[7838, 5051, 18821]",3,Cheque,6300000,Rouetbi Ridha,18,7,2008,2500019,NoPurchaseOrderNumberField,NoChequeNumberField
8529,"[5886, 16991, 2788, 4786]",4,Invoice/Facture,974800,Destination Tourisme & Voyages,13,6,2008,2152,MISSING,NoChequeNumberField
8530,,,Invoice/Facture,4297000,Poly Aluminium,29,12,2007,777/2007,MISSING,NoChequeNumberField
8531,"[5013, 308, 2571, 3704, 18045]",5,Cheque,162300,T Autoractes,9,10,2006,2091960,NoPurchaseOrderNumberField,NoChequeNumberField
8532,"[3215, 15646, 2101, 5315]",4,Invoice/Facture,1290192,Electro Nour el Houda,4,2,2008,394,NoPurchaseOrderNumberField,NoChequeNumberField
8534,"[17889, 18808, 17427]",3,Invoice/Facture,248300,All Logistics,14,9,2011,723,MISSING,NoChequeNumberField
8536,"[11485, 17519, 2219]",3,Invoice/Facture,520300,Petroleum Operations Logistics and Services,1,2,2008,MISSING,MISSING,NoChequeNumberField
8538,"[19765, 14964]",2,Invoice/Facture,782000,Ariana Logistics,20,10,2008,1875,MISSING,NoChequeNumberField
8541,,,Invoice/Facture,17094.00,Pioneer Natural Resources Tunisia LTD,31,12,2008,SOL/BHP/00410/08,MISSING,NoChequeNumberField
8542,"[4050, 17557, 11663, 2231]",4,Invoice/Facture,372000,Office National des Postes Rapid Poste Tunis,3,4,2003,MISSING,MISSING,NoChequeNumberField
8543,"[12135, 14195]",2,Invoice/Facture,12900300,Teletec,31,5,2007,700160,MISSING,NoChequeNumberField
